NAME,run,receptor,hour_along,traj_dt,lat,lon,height,traj_dt_i,lat_i,lon_i,height_i,pressure,theta,air_temp,rainfall,mixdepth,rh,sp_humidity,h2o_mixrate,terr_msl,sun_flux,step,par_name,par_value
Victoria,1,1,0,1981-04-08T20:00:00Z,-37.397,143.084,1000,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,888,299.6,289.6,0,261.4,42.3,5.5,5.5,132.2,0,1,lat,-37.397341
Victoria,1,1,-1,1981-04-08T19:00:00Z,-37.352,142.751,989.4,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,891.6,299.7,290.1,0,253.4,40.7,5.4,5.5,109.6,0,1,lon,143.083979
Victoria,1,1,-2,1981-04-08T18:00:00Z,-37.286,142.448,979.9,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,894.5,300,290.5,0,250,39.1,5.4,5.4,91.1,0,1,height,1000
Victoria,1,1,-3,1981-04-08T17:00:00Z,-37.201,142.165,969.8,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,896.1,300,290.7,0,272.9,38.4,5.3,5.4,90.7,0,1,days_AEDT,1981-04-09
Victoria,1,1,-4,1981-04-08T16:00:00Z,-37.098,141.897,959,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,898,300.1,291,0,297.7,37.5,5.3,5.3,85.9,0,1,daily_hours_AEDT,6
Victoria,1,1,-5,1981-04-08T15:00:00Z,-36.98,141.646,948,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,899.8,300.2,291.3,0,325.5,36.5,5.2,5.3,82.1,0,1,duration,12
Victoria,1,1,-6,1981-04-08T14:00:00Z,-36.849,141.41,937.5,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,901.5,300.4,291.6,0,357.6,35.5,5.2,5.2,79.3,0,1,max_n_steps,3
Victoria,1,1,-7,1981-04-08T13:00:00Z,-36.708,141.191,928.2,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,902.9,300.5,291.9,0,395.2,34.5,5.1,5.1,77.6,0,1,temp_thresh,12
Victoria,1,1,-8,1981-04-08T12:00:00Z,-36.558,140.989,920.4,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,904,300.7,292.2,0,439.4,33.4,5,5.1,77,0,1,NA,NA
South Australia,1,1,-9,1981-04-08T11:00:00Z,-36.411,140.8,914.1,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,904.1,300.8,292.3,0,592.5,32.8,5,5,87.9,0,1,NA,NA
South Australia,1,1,-10,1981-04-08T10:00:00Z,-36.276,140.624,909.9,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,903.9,300.9,292.4,0,754.5,32.2,4.9,4.9,89.8,0,1,NA,NA
South Australia,1,1,-11,1981-04-08T09:00:00Z,-36.153,140.46,907.5,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,903.5,301,292.4,0,923.3,31.6,4.8,4.9,92.3,0,1,NA,NA
South Australia,1,1,-12,1981-04-08T08:00:00Z,-36.038,140.306,906.7,1981-04-08T20:00:00Z,-37.397341,143.083979,1000,902.9,301.1,292.4,0,1097.1,31.1,4.8,4.8,95.2,77.7,1,NA,NA
South Australia,1,1,0,1981-04-07T20:00:00Z,-36.038,140.306,1000,1981-04-07T20:00:00Z,-36.038,140.306,1000,895.7,298.1,288.8,0,253.2,38.9,4.8,4.8,84.9,0,2,NA,NA
South Australia,1,1,-1,1981-04-07T19:00:00Z,-35.882,140.246,1015.2,1981-04-07T20:00:00Z,-36.038,140.306,1000,893.6,298.2,288.7,0,251.4,39.2,4.8,4.8,87.9,0,2,NA,NA
South Australia,1,1,-2,1981-04-07T18:00:00Z,-35.722,140.202,1030.3,1981-04-07T20:00:00Z,-36.038,140.306,1000,891.5,298.3,288.6,0,250,39.8,4.8,4.9,91.1,0,2,NA,NA
